ABC Analysis,,,,,,,,,
,,,,,,,,,
,SKU,Total Sales,% Annual Value,Annual Cumulative Value,% Annual Cumulative Value,ABC Codes,,ABC Code,Items
,FUR-TA-10003954,7404.49,0.32%,726816.64,31.64%,B,,,
,TEC-AC-10004145,7399.7,0.32%,734216.34,31.96%,B,,,
,FUR-TA-10000577,7242.78,0.32%,741459.12,32.28%,B,,,
,TEC-PH-10000560,7139.8,0.31%,748598.92,32.59%,B,,,
,TEC-MA-10000045,6965.7,0.30%,755564.62,32.89%,B,,,
,FUR-TA-10002958,6942.07,0.30%,762506.69,33.19%,B,,,
,FUR-CH-10002335,6936.11,0.30%,769442.8,33.49%,B,,,
,TEC-PH-10001795,6935.87,0.30%,776378.67,33.80%,B,,,
,OFF-AP-10002651,6832.91,0.30%,783211.58,34.09%,B,,,
,OFF-ST-10003470,6819.31,0.30%,790030.89,34.39%,B,,,
,OFF-BI-10003650,6785.14,0.30%,796816.03,34.69%,B,,,
,FUR-TA-10003569,6776.57,0.29%,803592.6,34.98%,B,,,
,FUR-CH-10004997,6748.48,0.29%,810341.08,35.28%,B,,,
,OFF-ST-10001496,6594.96,0.29%,816936.04,35.56%,B,,,
,FUR-CH-10000015,6584.64,0.29%,823520.68,35.85%,B,,,
,OFF-ST-10002615,6574.54,0.29%,830095.22,36.14%,B,,,
,FUR-TA-10001950,6518.76,0.28%,836613.98,36.42%,B,,,
,FUR-CH-10002320,6483.79,0.28%,843097.77,36.70%,B,,,
,FUR-CH-10004495,6410.87,0.28%,849508.64,36.98%,B,,,
,TEC-CO-10004115,6399.88,0.28%,855908.52,37.26%,B,,,
,TEC-PH-10000895,6227.66,0.27%,862136.18,37.53%,B,,,
,TEC-PH-10002584,6134.7,0.27%,868270.88,37.80%,B,,,
,TEC-PH-10002624,6109.87,0.27%,874380.75,38.06%,B,,,
,FUR-CH-10000309,6084.14,0.26%,880464.89,38.33%,B,,,
,FUR-CH-10000785,6008.54,0.26%,886473.43,38.59%,B,,,
,TEC-CO-10002313,5999.9,0.26%,892473.33,38.85%,B,,,
,FUR-CH-10002965,5989.22,0.26%,898462.55,39.11%,B,,,
,FUR-TA-10004575,5965.08,0.26%,904427.63,39.37%,B,,,
,OFF-AP-10000275,5906.52,0.26%,910334.15,39.63%,B,,,
,FUR-CH-10003746,5906.03,0.26%,916240.18,39.89%,B,,,
,FUR-CH-10001394,5861.53,0.26%,922101.71,40.14%,B,,,
,FUR-TA-10004915,5801.82,0.25%,927903.53,40.39%,B,,,
,TEC-MA-10004002,5787.36,0.25%,933690.89,40.64%,B,,,
,OFF-ST-10001526,5751.77,0.25%,939442.66,40.90%,B,,,
,FUR-CH-10000595,5697.76,0.25%,945140.42,41.14%,B,,,
,TEC-CO-10001766,5669.88,0.25%,950810.3,41.39%,B,,,
,FUR-TA-10004256,5634.9,0.25%,956445.2,41.64%,B,,,
,TEC-AC-10003870,5609.83,0.24%,962055.03,41.88%,B,,,
,OFF-ST-10000142,5572.79,0.24%,967627.82,42.12%,B,,,
,OFF-BI-10004632,5535.57,0.24%,973163.39,42.36%,B,,,
,FUR-BO-10001811,5492.89,0.24%,978656.28,42.60%,B,,,
,FUR-CH-10002880,5436.15,0.24%,984092.43,42.84%,B,,,
,FUR-CH-10002073,5427.99,0.24%,989520.42,43.08%,B,,,
,TEC-PH-10004586,5327.26,0.23%,994847.68,43.31%,B,,,
,FUR-CH-10000988,5294.47,0.23%,1000142.15,43.54%,B,,,
,TEC-PH-10004977,5291.74,0.23%,1005433.89,43.77%,B,,,
,FUR-CH-10003312,5282.42,0.23%,1010716.31,44.00%,B,,,
,FUR-CH-10004675,5212.11,0.23%,1015928.42,44.22%,B,,,
,TEC-MA-10001148,5204.25,0.23%,1021132.67,44.45%,B,,,
,FUR-BO-10002613,5184.1,0.23%,1026316.77,44.68%,B,,,
,TEC-AC-10001838,5119.74,0.22%,1031436.51,44.90%,B,,,
,FUR-TA-10001932,5098.17,0.22%,1036534.68,45.12%,B,,,
,OFF-AP-10003849,5009.49,0.22%,1041544.17,45.34%,B,,,
,TEC-PH-10000984,4978.15,0.22%,1046522.32,45.56%,B,,,
,FUR-TA-10001539,4952.67,0.22%,1051474.99,45.77%,B,,,
,TEC-PH-10001363,4901.91,0.21%,1056376.9,45.99%,B,,,
,FUR-BO-10004695,4886.47,0.21%,1061263.37,46.20%,B,,,
,TEC-CO-10004202,4859.83,0.21%,1066123.2,46.41%,B,,,
,OFF-ST-10001932,4829.25,0.21%,1070952.45,46.62%,B,,,
,OFF-ST-10002011,4778.77,0.21%,1075731.22,46.83%,B,,,
,FUR-CH-10000513,4770.65,0.21%,1080501.87,47.04%,B,,,
,OFF-ST-10002743,4704.71,0.20%,1085206.58,47.24%,B,,,
,FUR-CH-10000847,4626.58,0.20%,1089833.16,47.44%,B,,,
,FUR-CH-10002602,4619.99,0.20%,1094453.15,47.64%,B,,,
,TEC-PH-10001494,4619.23,0.20%,1099072.38,47.84%,B,,,
,OFF-ST-10003306,4600.09,0.20%,1103672.47,48.04%,B,,,
,FUR-TA-10002903,4544.93,0.20%,1108217.4,48.24%,B,,,
,OFF-ST-10001809,4509.47,0.20%,1112726.87,48.44%,B,,,
,OFF-ST-10000689,4479.03,0.19%,1117205.9,48.63%,B,,,
,OFF-AP-10001058,4476.96,0.19%,1121682.86,48.83%,B,,,
,FUR-TA-10004154,4446.18,0.19%,1126129.04,49.02%,B,,,
,TEC-PH-10003012,4434.91,0.19%,1130563.95,49.21%,B,,,
,FUR-CH-10003981,4420.06,0.19%,1134984.01,49.41%,B,,,
,TEC-CO-10001571,4399.91,0.19%,1139383.92,49.60%,B,,,
,OFF-ST-10002756,4384.04,0.19%,1143767.96,49.79%,B,,,
,FUR-TA-10000617,4334.83,0.19%,1148102.79,49.98%,B,,,
,FUR-TA-10003748,4332.26,0.19%,1152435.05,50.17%,B,,,
,OFF-BI-10003091,4322.81,0.19%,1156757.86,50.36%,B,,,
,FUR-TA-10003238,4297.65,0.19%,1161055.51,50.54%,B,,,
,TEC-MA-10000864,4268,0.19%,1165323.51,50.73%,B,,,
,TEC-PH-10004094,4211.73,0.18%,1169535.24,50.91%,B,,,
,OFF-BI-10004390,4209.81,0.18%,1173745.05,51.09%,B,,,
,TEC-CO-10000971,4199.85,0.18%,1177944.9,51.28%,B,,,
,OFF-ST-10002574,4199.45,0.18%,1182144.35,51.46%,B,,,
,FUR-CH-10004983,4185.49,0.18%,1186329.84,51.64%,B,,,
,OFF-BI-10003656,4181.76,0.18%,1190511.6,51.82%,B,,,
,TEC-PH-10002496,4180.52,0.18%,1194692.12,52.01%,B,,,
,FUR-CH-10003774,4166.89,0.18%,1198859.01,52.19%,B,,,
,TEC-CO-10001943,4119.8,0.18%,1202978.81,52.37%,B,,,
,TEC-PH-10004539,4044.39,0.18%,1207023.2,52.54%,B,,,
,OFF-ST-10000046,4006.44,0.17%,1211029.64,52.72%,B,,,
,TEC-PH-10000730,3999.92,0.17%,1215029.56,52.89%,B,,,
,TEC-AC-10002842,3998.4,0.17%,1219027.96,53.07%,B,,,
,TEC-MA-10002927,3991.98,0.17%,1223019.94,53.24%,B,,,
,FUR-CH-10001708,3989.73,0.17%,1227009.67,53.41%,B,,,
,TEC-PH-10001578,3968.51,0.17%,1230978.18,53.59%,B,,,
,FUR-TA-10001768,3963.91,0.17%,1234942.09,53.76%,B,,,
,TEC-CO-10003236,3959.93,0.17%,1238902.02,53.93%,B,,,
,FUR-CH-10000665,3955.67,0.17%,1242857.69,54.10%,B,,,
,OFF-ST-10003816,3946.66,0.17%,1246804.35,54.27%,B,,,
,FUR-FU-10000576,3861.05,0.17%,1250665.4,54.44%,B,,,
,OFF-AP-10003057,3855.18,0.17%,1254520.58,54.61%,B,,,
,TEC-PH-10002549,3839.63,0.17%,1258360.21,54.78%,B,,,
,TEC-PH-10002834,3815.79,0.17%,1262176,54.94%,B,,,
,FUR-TA-10004619,3775.66,0.16%,1265951.66,55.11%,B,,,
,TEC-AC-10002637,3743.8,0.16%,1269695.46,55.27%,B,,,
,FUR-TA-10001307,3739.12,0.16%,1273434.58,55.43%,B,,,
,TEC-PH-10003645,3684.72,0.16%,1277119.3,55.59%,B,,,
,FUR-CH-10003298,3680.53,0.16%,1280799.83,55.75%,B,,,
,TEC-PH-10002415,3657.38,0.16%,1284457.21,55.91%,B,,,
,FUR-CH-10002647,3641.26,0.16%,1288098.47,56.07%,B,,,
,FUR-BO-10004218,3626.02,0.16%,1291724.49,56.23%,B,,,
,TEC-PH-10004447,3613.74,0.16%,1295338.23,56.39%,B,,,
,FUR-TA-10001771,3603.29,0.16%,1298941.52,56.54%,B,,,
,TEC-PH-10001557,3590.02,0.16%,1302531.54,56.70%,B,,,
,FUR-TA-10003392,3540.35,0.15%,1306071.89,56.85%,B,,,
,OFF-ST-10003805,3537.24,0.15%,1309609.13,57.01%,B,,,
,FUR-CH-10000155,3528.79,0.15%,1313137.92,57.16%,B,,,
,OFF-AP-10000828,3511.01,0.15%,1316648.93,57.32%,B,,,
,FUR-TA-10002645,3481.52,0.15%,1320130.45,57.47%,B,,,
,FUR-TA-10002530,3457.44,0.15%,1323587.89,57.62%,B,,,
,FUR-BO-10003404,3447.84,0.15%,1327035.73,57.77%,B,,,
,FUR-BO-10003272,3420.77,0.15%,1330456.5,57.92%,B,,,
,TEC-PH-10003505,3415.04,0.15%,1333871.54,58.07%,B,,,
,TEC-MA-10003673,3404.5,0.15%,1337276.04,58.21%,B,,,
,FUR-TA-10001705,3401.6,0.15%,1340677.64,58.36%,B,,,
,OFF-ST-10000025,3397.31,0.15%,1344074.95,58.51%,B,,,
,FUR-TA-10000688,3354.9,0.15%,1347429.85,58.66%,B,,,
,OFF-LA-10003930,3322.87,0.14%,1350752.72,58.80%,B,,,
,FUR-BO-10004015,3317.72,0.14%,1354070.44,58.94%,B,,,
,FUR-FU-10001468,3317.02,0.14%,1357387.46,59.09%,B,,,
,FUR-TA-10004534,3253.22,0.14%,1360640.68,59.23%,B,,,
,OFF-BI-10004318,3234.9,0.14%,1363875.58,59.37%,B,,,
,OFF-BI-10004584,3222.99,0.14%,1367098.57,59.51%,B,,,
,TEC-MA-10001972,3210.8,0.14%,1370309.37,59.65%,B,,,
,OFF-ST-10001097,3178.13,0.14%,1373487.5,59.79%,B,,,
,TEC-PH-10002310,3168.6,0.14%,1376656.1,59.93%,B,,,
,TEC-PH-10002103,3158.07,0.14%,1379814.17,60.07%,B,,,
,FUR-CH-10004218,3150.58,0.14%,1382964.75,60.20%,B,,,
,FUR-TA-10003715,3140.56,0.14%,1386105.31,60.34%,B,,,
,OFF-ST-10000585,3138.8,0.14%,1389244.11,60.48%,B,,,
,TEC-PH-10003691,3099.36,0.13%,1392343.47,60.61%,B,,,
,TEC-PH-10003072,3059.8,0.13%,1395403.27,60.74%,B,,,
,OFF-AP-10003590,3051.3,0.13%,1398454.57,60.88%,B,,,
,TEC-PH-10001336,3044.16,0.13%,1401498.73,61.01%,B,,,
,TEC-MA-10000010,3040,0.13%,1404538.73,61.14%,B,,,
,OFF-AP-10002684,3039.5,0.13%,1407578.23,61.27%,B,,,
,OFF-ST-10000991,3035.21,0.13%,1410613.44,61.41%,B,,,
,OFF-ST-10000736,3028.65,0.13%,1413642.09,61.54%,B,,,
,OFF-SU-10000157,2982.75,0.13%,1416624.84,61.67%,B,,,
,FUR-TA-10001086,2979.01,0.13%,1419603.85,61.80%,B,,,
,FUR-BO-10001337,2970.07,0.13%,1422573.92,61.93%,B,,,
,FUR-CH-10004853,2959.21,0.13%,1425533.13,62.06%,B,,,
,OFF-BI-10004519,2954.44,0.13%,1428487.57,62.18%,B,,,
,FUR-BO-10000780,2946.36,0.13%,1431433.93,62.31%,B,,,
,OFF-AP-10002534,2946.19,0.13%,1434380.12,62.44%,B,,,
,FUR-CH-10000863,2913.92,0.13%,1437294.04,62.57%,B,,,
,TEC-PH-10002922,2906.62,0.13%,1440200.66,62.69%,B,,,
,FUR-BO-10004357,2904.16,0.13%,1443104.82,62.82%,B,,,
,OFF-AP-10002518,2883.28,0.13%,1445988.1,62.95%,B,,,
,TEC-AC-10002001,2879.82,0.13%,1448867.92,63.07%,B,,,
,TEC-PH-10001760,2865.6,0.12%,1451733.52,63.20%,B,,,
,FUR-FU-10003664,2863.8,0.12%,1454597.32,63.32%,B,,,
,FUR-TA-10003008,2847.79,0.12%,1457445.11,63.44%,B,,,
,OFF-SU-10000646,2836.36,0.12%,1460281.47,63.57%,B,,,
,TEC-AC-10001908,2799.72,0.12%,1463081.19,63.69%,B,,,
,OFF-PA-10000994,2789.01,0.12%,1465870.2,63.81%,B,,,
,FUR-TA-10001039,2764.24,0.12%,1468634.44,63.93%,B,,,
,FUR-FU-10004306,2759.06,0.12%,1471393.5,64.05%,B,,,
,TEC-AC-10004666,2755.4,0.12%,1474148.9,64.17%,B,,,
,TEC-PH-10000441,2746.57,0.12%,1476895.47,64.29%,B,,,
,TEC-PH-10002555,2744.87,0.12%,1479640.34,64.41%,B,,,
,FUR-BO-10001972,2740.2,0.12%,1482380.54,64.53%,B,,,
,OFF-ST-10001128,2730.11,0.12%,1485110.65,64.65%,B,,,
,OFF-AP-10002118,2706.08,0.12%,1487816.73,64.77%,B,,,
,FUR-CH-10002084,2705.78,0.12%,1490522.51,64.88%,B,,,
,FUR-FU-10002937,2699.05,0.12%,1493221.56,65.00%,B,,,
,FUR-TA-10002041,2671.43,0.12%,1495892.99,65.12%,B,,,
,TEC-AC-10002253,2659.84,0.12%,1498552.83,65.23%,B,,,
,FUR-CH-10000422,2647.82,0.12%,1501200.65,65.35%,B,,,
,TEC-PH-10004667,2645.81,0.12%,1503846.46,65.46%,B,,,
,OFF-SU-10003505,2641.62,0.11%,1506488.08,65.58%,B,,,
,TEC-PH-10000526,2630.12,0.11%,1509118.2,65.69%,B,,,
,TEC-AC-10003911,2623.84,0.11%,1511742.04,65.81%,B,,,
,TEC-AC-10004171,2619.74,0.11%,1514361.78,65.92%,B,,,
,OFF-ST-10000060,2612.19,0.11%,1516973.97,66.04%,B,,,
,TEC-PH-10001128,2609.82,0.11%,1519583.79,66.15%,B,,,
,FUR-CH-10002126,2586.19,0.11%,1522169.98,66.26%,B,,,
,OFF-ST-10004186,2552.54,0.11%,1524722.52,66.37%,B,,,
,FUR-TA-10002356,2542.47,0.11%,1527264.99,66.48%,B,,,
,TEC-MA-10002428,2541.84,0.11%,1529806.83,66.59%,B,,,
,TEC-MA-10003353,2519.96,0.11%,1532326.79,66.70%,B,,,
,OFF-ST-10004123,2511.04,0.11%,1534837.83,66.81%,B,,,
,OFF-AP-10000891,2491.28,0.11%,1537329.11,66.92%,B,,,
,OFF-AP-10004487,2488.39,0.11%,1539817.5,67.03%,B,,,
,FUR-BO-10002916,2487.76,0.11%,1542305.26,67.14%,B,,,
,OFF-ST-10001370,2484.31,0.11%,1544789.57,67.25%,B,,,
,TEC-PH-10001944,2481.15,0.11%,1547270.72,67.35%,B,,,
,TEC-AC-10003198,2450.16,0.11%,1549720.88,67.46%,B,,,
,FUR-CH-10001146,2442.04,0.11%,1552162.92,67.57%,B,,,
,TEC-MA-10000112,2396.4,0.10%,1554559.32,67.67%,B,,,
,FUR-CH-10004289,2389.9,0.10%,1556949.22,67.78%,B,,,
,FUR-CH-10001270,2389.13,0.10%,1559338.35,67.88%,B,,,
,TEC-AC-10000844,2362.72,0.10%,1561701.07,67.98%,B,,,
,TEC-MA-10002073,2339.98,0.10%,1564041.05,68.08%,B,,,
,TEC-AC-10004571,2339.76,0.10%,1566380.81,68.19%,B,,,
,TEC-MA-10004679,2330.65,0.10%,1568711.46,68.29%,B,,,
,OFF-ST-10004340,2300.66,0.10%,1571012.12,68.39%,B,,,
,OFF-ST-10001522,2299.74,0.10%,1573311.86,68.49%,B,,,
,FUR-TA-10001520,2298.12,0.10%,1575609.98,68.59%,B,,,
,FUR-TA-10002855,2297.54,0.10%,1577907.52,68.69%,B,,,
,TEC-PH-10002114,2279.96,0.10%,1580187.48,68.79%,B,,,
,FUR-FU-10001488,2267.97,0.10%,1582455.45,68.89%,B,,,
,OFF-BI-10001718,2264.89,0.10%,1584720.34,68.98%,B,,,
,TEC-PH-10003580,2252.44,0.10%,1586972.78,69.08%,B,,,
,TEC-AC-10003174,2242.04,0.10%,1589214.82,69.18%,B,,,
,FUR-TA-10002533,2241.87,0.10%,1591456.69,69.28%,B,,,
,TEC-PH-10000486,2227.01,0.10%,1593683.7,69.38%,B,,,
,TEC-PH-10002033,2221.59,0.10%,1595905.29,69.47%,B,,,
,OFF-AP-10000938,2221.56,0.10%,1598126.85,69.57%,B,,,
,FUR-CH-10000749,2207.96,0.10%,1600334.81,69.66%,B,,,
,FUR-CH-10003817,2204.85,0.10%,1602539.66,69.76%,B,,,
,FUR-CH-10001482,2200.46,0.10%,1604740.12,69.86%,B,,,
,FUR-FU-10004665,2191.68,0.10%,1606931.8,69.95%,B,,,
,FUR-CH-10004477,2185.96,0.10%,1609117.76,70.05%,C,,,
,OFF-PA-10001970,2167.35,0.09%,1611285.11,70.14%,C,,,
,TEC-PH-10003811,2159.82,0.09%,1613444.93,70.24%,C,,,
,TEC-AC-10002402,2159.73,0.09%,1615604.66,70.33%,C,,,
,TEC-AC-10003095,2157.83,0.09%,1617762.49,70.42%,C,,,
,TEC-PH-10002680,2155.9,0.09%,1619918.39,70.52%,C,,,
,FUR-BO-10000362,2154.35,0.09%,1622072.74,70.61%,C,,,
,OFF-PA-10000357,2141.64,0.09%,1624214.38,70.70%,C,,,
,FUR-TA-10002607,2140.9,0.09%,1626355.28,70.80%,C,,,
,TEC-PH-10002275,2116.68,0.09%,1628471.96,70.89%,C,,,
,TEC-AC-10000990,2098.88,0.09%,1630570.84,70.98%,C,,,
,FUR-TA-10002774,2096.17,0.09%,1632667.01,71.07%,C,,,
,OFF-BI-10002026,2068.82,0.09%,1634735.83,71.16%,C,,,
,FUR-FU-10002298,2064.22,0.09%,1636800.05,71.25%,C,,,
,TEC-PH-10004345,2063.14,0.09%,1638863.19,71.34%,C,,,
,FUR-FU-10003806,2058.5,0.09%,1640921.69,71.43%,C,,,
,TEC-PH-10000369,2041.03,0.09%,1642962.72,71.52%,C,,,
,FUR-TA-10004607,2040.06,0.09%,1645002.78,71.61%,C,,,
,FUR-TA-10002228,2033.5,0.09%,1647036.28,71.70%,C,,,
,FUR-CH-10000229,2032.35,0.09%,1649068.63,71.79%,C,,,
,TEC-PH-10000038,2027.31,0.09%,1651095.94,71.87%,C,,,
,TEC-PH-10001835,2022.27,0.09%,1653118.21,71.96%,C,,,
,TEC-PH-10002824,2018.7,0.09%,1655136.91,72.05%,C,,,
,TEC-PH-10003484,2015.83,0.09%,1657152.74,72.14%,C,,,
,OFF-AP-10000576,2010.86,0.09%,1659163.6,72.23%,C,,,
,TEC-AC-10002567,1999.74,0.09%,1661163.34,72.31%,C,,,
,TEC-PH-10002563,1990.65,0.09%,1663153.99,72.40%,C,,,
,TEC-PH-10003601,1979.88,0.09%,1665133.87,72.49%,C,,,
,OFF-ST-10001511,1952.43,0.08%,1667086.3,72.57%,C,,,
,FUR-CH-10004626,1947.18,0.08%,1669033.48,72.66%,C,,,
,OFF-AP-10001394,1946.7,0.08%,1670980.18,72.74%,C,,,
,TEC-PH-10000576,1945.26,0.08%,1672925.44,72.82%,C,,,
,TEC-PH-10002447,1936.3,0.08%,1674861.74,72.91%,C,,,
,TEC-AC-10004659,1926.92,0.08%,1676788.66,72.99%,C,,,
,TEC-PH-10001580,1916.71,0.08%,1678705.37,73.08%,C,,,
,TEC-AC-10004975,1913.13,0.08%,1680618.5,73.16%,C,,,
,FUR-BO-10003034,1912.31,0.08%,1682530.81,73.24%,C,,,
,FUR-BO-10003159,1909.82,0.08%,1684440.63,73.33%,C,,,
,TEC-PH-10001079,1903.84,0.08%,1686344.47,73.41%,C,,,
,FUR-BO-10004467,1897.81,0.08%,1688242.28,73.49%,C,,,
,FUR-CH-10003833,1890.39,0.08%,1690132.67,73.57%,C,,,
,TEC-AC-10000892,1890,0.08%,1692022.67,73.66%,C,,,
,OFF-PA-10004359,1887.3,0.08%,1693909.97,73.74%,C,,,
,TEC-PH-10002660,1876.52,0.08%,1695786.49,73.82%,C,,,
,OFF-ST-10000036,1857.26,0.08%,1697643.75,73.90%,C,,,
,FUR-CH-10003199,1842.26,0.08%,1699486.01,73.98%,C,,,
,FUR-FU-10004864,1834.82,0.08%,1701320.83,74.06%,C,,,
,FUR-CH-10004698,1830.14,0.08%,1703150.97,74.14%,C,,,
,TEC-PH-10001619,1803.11,0.08%,1704954.08,74.22%,C,,,
,TEC-AC-10001606,1799.82,0.08%,1706753.9,74.30%,C,,,
,FUR-TA-10004086,1788.38,0.08%,1708542.28,74.37%,C,,,
,OFF-PA-10000418,1782.45,0.08%,1710324.73,74.45%,C,,,
,OFF-AP-10001205,1776.05,0.08%,1712100.78,74.53%,C,,,
,FUR-CH-10001973,1775.67,0.08%,1713876.45,74.61%,C,,,
,FUR-CH-10004886,1775.08,0.08%,1715651.53,74.68%,C,,,
,TEC-PH-10003963,1771.52,0.08%,1717423.05,74.76%,C,,,
,FUR-CH-10003396,1770.53,0.08%,1719193.58,74.84%,C,,,
,OFF-ST-10001963,1764.53,0.08%,1720958.11,74.92%,C,,,
,OFF-AP-10001005,1761.76,0.08%,1722719.87,74.99%,C,,,
,FUR-CH-10000225,1757.26,0.08%,1724477.13,75.07%,C,,,
,FUR-CH-10004860,1746.95,0.08%,1726224.08,75.14%,C,,,
,OFF-PA-10003395,1740.51,0.08%,1727964.59,75.22%,C,,,
,TEC-PH-10003273,1738.67,0.08%,1729703.26,75.30%,C,,,
,TEC-PH-10001254,1727.07,0.08%,1731430.33,75.37%,C,,,
,TEC-AC-10001142,1722.2,0.07%,1733152.53,75.45%,C,,,
,OFF-ST-10002292,1706.51,0.07%,1734859.04,75.52%,C,,,
,FUR-TA-10004289,1706.26,0.07%,1736565.3,75.59%,C,,,
,TEC-AC-10001990,1703.72,0.07%,1738269.02,75.67%,C,,,
,OFF-PA-10000100,1696.98,0.07%,1739966,75.74%,C,,,
,TEC-AC-10000474,1690.83,0.07%,1741656.83,75.82%,C,,,
,FUR-CH-10001714,1689.97,0.07%,1743346.8,75.89%,C,,,
,FUR-CH-10001545,1686.9,0.07%,1745033.7,75.96%,C,,,
,FUR-FU-10000277,1685.44,0.07%,1746719.14,76.04%,C,,,
,TEC-PH-10004042,1685.3,0.07%,1748404.44,76.11%,C,,,
,TEC-PH-10001299,1679.88,0.07%,1750084.32,76.18%,C,,,
,OFF-AP-10002457,1674.4,0.07%,1751758.72,76.26%,C,,,
,TEC-PH-10004908,1665.8,0.07%,1753424.52,76.33%,C,,,
,FUR-BO-10003965,1646.92,0.07%,1755071.44,76.40%,C,,,
,TEC-AC-10001432,1641.15,0.07%,1756712.59,76.47%,C,,,
,OFF-ST-10002344,1635.79,0.07%,1758348.38,76.54%,C,,,
,TEC-PH-10002483,1631.95,0.07%,1759980.33,76.61%,C,,,
,FUR-FU-10003601,1623.25,0.07%,1761603.58,76.68%,C,,,
,TEC-MA-10003356,1619.82,0.07%,1763223.4,76.76%,C,,,
,TEC-AC-10002800,1619.68,0.07%,1764843.08,76.83%,C,,,
,OFF-AR-10000380,1617.95,0.07%,1766461.03,76.90%,C,,,
,TEC-AC-10000736,1615.8,0.07%,1768076.83,76.97%,C,,,
